noise_level,sample,gt_x,gt_y,pred_x,pred_y,error,score,runtime_sec
clean,sample_025,439.7,875.5,438.0,876.0,1.772004514666924,0.8685331344604492,0.10920610000903253
clean,sample_026,255.8,134.0,256.0,91.0,43.000465113763596,0.8920596837997437,0.0921500999975251
clean,sample_027,876.7,234.7,876.0,235.0,0.7615773105864371,0.8874817490577698,0.11472430000139866
clean,sample_028,252.4,838.7,251.0,839.0,1.4317821063276315,0.8699113726615906,0.11565580000751652
clean,sample_029,857.1,688.0,856.0,688.0,1.1000000000000227,0.9439880847930908,0.11337130000174511
clean,sample_030,767.7,590.7,767.0,591.0,0.7615773105864148,0.8864704966545105,0.10482090000004973
low,sample_001,279.0,433.1,278.0,433.0,1.0049875621120912,0.9055238962173462,0.10050780000165105
low,sample_002,288.4,438.1,288.0,438.0,0.4123105625617495,0.9043404459953308,0.08474149998801295
low,sample_003,149.2,544.8,148.0,545.0,1.2165525060596403,0.9350230693817139,0.08365549999871291
low,sample_004,223.7,669.3,223.0,669.0,0.7615773105863625,0.926296055316925,0.0891255999886198
low,sample_005,690.1,56.9,690.0,57.0,0.1414213562373266,0.8874932527542114,0.1005113999999594
low,sample_006,515.3,903.8,514.0,904.0,1.3152946437965525,0.9253496527671814,0.09457820000534412
low,sample_007,300.1,162.7,300.0,163.0,0.3162277660168559,0.9334507584571838,0.08934330000192858
low,sample_008,586.9,289.5,586.0,289.0,1.0295630140986802,0.8798317313194275,0.08067029999801889
low,sample_009,707.9,706.5,779.0,716.0,71.73186181885985,0.9250007271766663,0.10170949999883305
low,sample_010,807.6,598.1,807.0,598.0,0.6082762530298481,0.9146252274513245,0.10032440000213683
low,sample_011,950.0,557.5,949.0,558.0,1.118033988749895,0.8807539343833923,0.10057920000690501
low,sample_012,550.7,272.0,550.0,272.0,0.7000000000000455,0.8906930088996887,0.08883059999789111
low,sample_013,493.7,823.7,341.0,824.0,152.70029469519696,0.8770153522491455,0.10385870000754949
low,sample_014,548.6,151.1,548.0,151.0,0.6082762530298435,0.9306305646896362,0.09085780000896193
low,sample_015,130.1,545.9,129.0,546.0,1.1045361017187225,0.9348025918006897,0.08656330000667367
low,sample_016,130.1,545.9,129.0,546.0,1.1045361017187225,0.9347232580184937,0.08874409999407362
low,sample_017,543.6,571.6,543.0,572.0,0.7211102550928041,0.828789472579956,0.09525909999501891
low,sample_018,290.2,422.7,290.0,423.0,0.36055512754640207,0.9166197180747986,0.10480119999556337
low,sample_019,715.6,838.9,714.0,839.0,1.6031219541881638,0.9081183671951294,0.0829985000018496
low,sample_020,883.0,880.6,882.0,881.0,1.0770329614268923,0.8685673475265503,0.07847030000993982
low,sample_021,640.4,721.9,639.0,722.0,1.4035668847617988,0.9519621133804321,0.08914670000376645
low,sample_022,578.3,882.0,577.0,882.0,1.2999999999999545,0.9233965873718262,0.09514910000143573
low,sample_023,670.9,337.1,692.0,337.0,21.100236965494034,0.9044587016105652,0.10207559999253135
low,sample_024,695.3,283.5,695.0,284.0,0.5830951894845067,0.8906218409538269,0.09443989999999758
low,sample_025,439.7,875.5,438.0,876.0,1.772004514666924,0.8666046261787415,0.1016438999940874
low,sample_026,255.8,134.0,256.0,134.0,0.19999999999998863,0.890557050704956,0.10932109999703243
low,sample_027,876.7,234.7,876.0,235.0,0.7615773105864371,0.8852083086967468,0.10117670000181533
low,sample_028,252.4,838.7,251.0,839.0,1.4317821063276315,0.8666592240333557,0.10256730001128744
low,sample_029,857.1,688.0,856.0,688.0,1.1000000000000227,0.9420956373214722,0.10540620000392664
low,sample_030,767.7,590.7,767.0,591.0,0.7615773105864148,0.8840712904930115,0.10861409999779426
medium,sample_001,279.0,433.1,278.0,433.0,1.0049875621120912,0.8961917161941528,0.08389170000737067
medium,sample_002,288.4,438.1,288.0,438.0,0.4123105625617495,0.8936399817466736,0.08560740000393707
medium,sample_003,149.2,544.8,148.0,545.0,1.2165525060596403,0.9254544377326965,0.09600450001016725
medium,sample_004,223.7,669.3,223.0,669.0,0.7615773105863625,0.9185681343078613,0.08991290000267327
medium,sample_005,690.1,56.9,690.0,57.0,0.1414213562373266,0.8787969350814819,0.08548789999622386
medium,sample_006,515.3,903.8,514.0,904.0,1.3152946437965525,0.9167584180831909,0.08930450001207646
medium,sample_007,300.1,162.7,300.0,163.0,0.3162277660168559,0.9261640906333923,0.08679850000771694
medium,sample_008,586.9,289.5,586.0,289.0,1.0295630140986802,0.8682913184165955,0.14548970000760164
medium,sample_009,707.9,706.5,779.0,716.0,71.73186181885985,0.9189658164978027,0.0809164999955101
medium,sample_010,807.6,598.1,807.0,598.0,0.6082762530298481,0.9043517112731934,0.0825761999876704
medium,sample_011,950.0,557.5,949.0,558.0,1.118033988749895,0.8708440065383911,0.09029359999112785
medium,sample_012,550.7,272.0,550.0,272.0,0.7000000000000455,0.8780996799468994,0.0903041999990819
medium,sample_013,493.7,823.7,341.0,824.0,152.70029469519696,0.8688498139381409,0.09871830001065973
medium,sample_014,548.6,151.1,548.0,151.0,0.6082762530298435,0.9229657649993896,0.09568069998931605
medium,sample_015,130.1,545.9,129.0,546.0,1.1045361017187225,0.9265023469924927,0.10147029999643564
medium,sample_016,130.1,545.9,129.0,546.0,1.1045361017187225,0.9270546436309814,0.08768840000266209
medium,sample_017,543.6,571.6,543.0,572.0,0.7211102550928041,0.8183397054672241,0.07992459999513812
medium,sample_018,290.2,422.7,290.0,423.0,0.36055512754640207,0.9091086387634277,0.09464089998800773
medium,sample_019,715.6,838.9,714.0,839.0,1.6031219541881638,0.8987598419189453,0.10030409999308176
medium,sample_020,883.0,880.6,882.0,881.0,1.0770329614268923,0.855587899684906,0.08754140000382904
medium,sample_021,640.4,721.9,639.0,722.0,1.4035668847617988,0.9468010663986206,0.10055089999514166
medium,sample_022,578.3,882.0,577.0,882.0,1.2999999999999545,0.912489652633667,0.08893719999468885
medium,sample_023,670.9,337.1,649.0,337.0,21.900228309312187,0.8970773816108704,0.11198229998990428
medium,sample_024,695.3,283.5,695.0,284.0,0.5830951894845067,0.8814042806625366,0.10340259999793489
medium,sample_025,439.7,875.5,438.0,876.0,1.772004514666924,0.857181191444397,0.0978381999884732
medium,sample_026,255.8,134.0,256.0,134.0,0.19999999999998863,0.8814148902893066,0.07258510000247043
medium,sample_027,876.7,234.7,876.0,235.0,0.7615773105864371,0.8733718395233154,0.0788784000033047
medium,sample_028,252.4,838.7,251.0,839.0,1.4317821063276315,0.8531575202941895,0.07803979999152943
medium,sample_029,857.1,688.0,856.0,688.0,1.1000000000000227,0.9334238767623901,0.09532179999223445
medium,sample_030,767.7,590.7,767.0,591.0,0.7615773105864148,0.8746282458305359,0.08295300000463612
high,sample_001,279.0,433.1,278.0,433.0,1.0049875621120912,0.8762965798377991,0.14144149998901412
high,sample_002,288.4,438.1,288.0,438.0,0.4123105625617495,0.8699692487716675,0.09441869999864139
high,sample_003,149.2,544.8,148.0,545.0,1.2165525060596403,0.9054896235466003,0.07573139999294654
high,sample_004,223.7,669.3,223.0,669.0,0.7615773105863625,0.9027785658836365,0.10884709999663755
high,sample_005,690.1,56.9,690.0,57.0,0.1414213562373266,0.8588472604751587,0.10535630000231322
high,sample_006,515.3,903.8,514.0,904.0,1.3152946437965525,0.8982133269309998,0.09336719999555498
high,sample_007,300.1,162.7,300.0,163.0,0.3162277660168559,0.9059555530548096,0.09144570000353269
high,sample_008,586.9,289.5,586.0,289.0,1.0295630140986802,0.8463475108146667,0.09799959999509156
high,sample_009,707.9,706.5,779.0,716.0,71.73186181885985,0.905601978302002,0.12849089999508578
high,sample_010,807.6,598.1,807.0,598.0,0.6082762530298481,0.8804859519004822,0.07881259999703616
high,sample_011,950.0,557.5,949.0,558.0,1.118033988749895,0.8538477420806885,0.08138609999150503
high,sample_012,550.7,272.0,550.0,272.0,0.7000000000000455,0.8528714179992676,0.07220429999870248
high,sample_013,493.7,823.7,718.0,236.0,629.0483129299371,0.84898442029953,0.07181019999552518
high,sample_014,548.6,151.1,548.0,151.0,0.6082762530298435,0.9048318266868591,0.08413740000105463
high,sample_015,130.1,545.9,129.0,546.0,1.1045361017187225,0.9102611541748047,0.10918369999853894
high,sample_016,130.1,545.9,129.0,546.0,1.1045361017187225,0.9096478819847107,0.08336129999952391
high,sample_017,543.6,571.6,543.0,572.0,0.7211102550928041,0.7879467010498047,0.07194100000197068
high,sample_018,290.2,422.7,290.0,423.0,0.36055512754640207,0.8893591165542603,0.0775673000025563
high,sample_019,715.6,838.9,714.0,839.0,1.6031219541881638,0.8791797161102295,0.08575450000353158
high,sample_020,883.0,880.6,882.0,881.0,1.0770329614268923,0.8294101357460022,0.10777560000133235
high,sample_021,640.4,721.9,639.0,722.0,1.4035668847617988,0.9346638321876526,0.11124280000512954
high,sample_022,578.3,882.0,577.0,882.0,1.2999999999999545,0.8885954022407532,0.11208279999846127
high,sample_023,670.9,337.1,692.0,337.0,21.100236965494034,0.8814994096755981,0.09282259999599773
high,sample_024,695.3,283.5,695.0,284.0,0.5830951894845067,0.8623921871185303,0.1335380999953486
high,sample_025,439.7,875.5,438.0,876.0,1.772004514666924,0.8366541862487793,0.07272129999182653
high,sample_026,255.8,134.0,256.0,91.0,43.000465113763596,0.8602523803710938,0.08755339999333955
high,sample_027,876.7,234.7,876.0,235.0,0.7615773105864371,0.8517739176750183,0.09679890000552405
high,sample_028,252.4,838.7,251.0,839.0,1.4317821063276315,0.8235030770301819,0.11386730000958778
high,sample_029,857.1,688.0,856.0,688.0,1.1000000000000227,0.9143983125686646,0.11556950000522193
high,sample_030,767.7,590.7,767.0,591.0,0.7615773105864148,0.8519614338874817,0.09297569999762345
