sample,noise_level,gt_x,gt_y,ai_x,ai_y,baseline_x,baseline_y,ai_rank,baseline_rank,ai_probability,ai_error,baseline_error,improvement,status
sample_009,medium,707.9,706.5,779.0,716.0,779.0,716.0,1,1,0.2555787838641215,71.73186181885985,71.73186181885985,0.0,equal
sample_010,clean,807.6,598.1,807.0,598.0,807.0,598.0,1,1,0.998364590526075,0.6082762530298481,0.6082762530298481,0.0,equal
sample_010,high,807.6,598.1,807.0,598.0,807.0,598.0,1,1,0.9941838472783673,0.6082762530298481,0.6082762530298481,0.0,equal
sample_010,low,807.6,598.1,807.0,598.0,807.0,598.0,1,1,0.998380338557571,0.6082762530298481,0.6082762530298481,0.0,equal
sample_010,medium,807.6,598.1,807.0,598.0,807.0,598.0,1,1,0.998380338557571,0.6082762530298481,0.6082762530298481,0.0,equal
sample_011,clean,950.0,557.5,949.0,558.0,949.0,558.0,1,1,0.9993328627076452,1.118033988749895,1.118033988749895,0.0,equal
sample_011,high,950.0,557.5,949.0,558.0,949.0,558.0,1,1,0.9997847654547295,1.118033988749895,1.118033988749895,0.0,equal
sample_011,low,950.0,557.5,949.0,558.0,949.0,558.0,1,1,0.9995681568252922,1.118033988749895,1.118033988749895,0.0,equal
sample_011,medium,950.0,557.5,949.0,558.0,949.0,558.0,1,1,0.9985532875442465,1.118033988749895,1.118033988749895,0.0,equal
sample_012,clean,550.7,272.0,550.0,272.0,550.0,272.0,1,1,0.9941780481205057,0.7000000000000455,0.7000000000000455,0.0,equal
sample_012,high,550.7,272.0,550.0,272.0,550.0,272.0,1,1,0.9591446212071923,0.7000000000000455,0.7000000000000455,0.0,equal
sample_012,low,550.7,272.0,550.0,272.0,550.0,272.0,1,1,0.9941780481205057,0.7000000000000455,0.7000000000000455,0.0,equal
sample_012,medium,550.7,272.0,550.0,272.0,550.0,272.0,1,1,0.9928202731631693,0.7000000000000455,0.7000000000000455,0.0,equal
sample_013,clean,493.7,823.7,492.0,824.0,341.0,824.0,6,1,0.9913432396967945,1.7262676501631877,152.70029469519696,150.97402704503378,improved
sample_013,high,493.7,823.7,492.0,824.0,718.0,236.0,6,1,0.9945728038141611,1.7262676501631877,629.0483129299371,627.3220452797739,improved
sample_013,low,493.7,823.7,492.0,824.0,341.0,824.0,6,1,0.999605579275449,1.7262676501631877,152.70029469519696,150.97402704503378,improved
sample_013,medium,493.7,823.7,492.0,824.0,341.0,824.0,6,1,0.9959953708038637,1.7262676501631877,152.70029469519696,150.97402704503378,improved
sample_014,clean,548.6,151.1,548.0,151.0,548.0,151.0,1,1,0.9998590426620373,0.6082762530298435,0.6082762530298435,0.0,equal
sample_014,high,548.6,151.1,548.0,151.0,548.0,151.0,1,1,0.9998998861205807,0.6082762530298435,0.6082762530298435,0.0,equal
sample_014,low,548.6,151.1,548.0,151.0,548.0,151.0,1,1,0.9998590426620373,0.6082762530298435,0.6082762530298435,0.0,equal
sample_014,medium,548.6,151.1,548.0,151.0,548.0,151.0,1,1,0.9998747906935334,0.6082762530298435,0.6082762530298435,0.0,equal
sample_015,clean,130.1,545.9,129.0,546.0,129.0,546.0,1,1,0.9998941848338507,1.1045361017187225,1.1045361017187225,0.0,equal
sample_015,high,130.1,545.9,129.0,546.0,129.0,546.0,1,1,0.9999023311083557,1.1045361017187225,1.1045361017187225,0.0,equal
sample_015,low,130.1,545.9,129.0,546.0,129.0,546.0,1,1,0.9994497403894063,1.1045361017187225,1.1045361017187225,0.0,equal
sample_015,medium,130.1,545.9,129.0,546.0,129.0,546.0,1,1,0.9998941848338507,1.1045361017187225,1.1045361017187225,0.0,equal
sample_016,clean,130.1,545.9,129.0,546.0,129.0,546.0,1,1,0.9998941848338507,1.1045361017187225,1.1045361017187225,0.0,equal
sample_016,high,130.1,545.9,129.0,546.0,129.0,546.0,1,1,0.9999023311083557,1.1045361017187225,1.1045361017187225,0.0,equal
sample_016,low,130.1,545.9,129.0,546.0,129.0,546.0,1,1,0.9995148004387183,1.1045361017187225,1.1045361017187225,0.0,equal
sample_016,medium,130.1,545.9,129.0,546.0,129.0,546.0,1,1,0.9997037086433745,1.1045361017187225,1.1045361017187225,0.0,equal
sample_017,clean,543.6,571.6,543.0,572.0,543.0,572.0,1,1,0.9998439451959902,0.7211102550928041,0.7211102550928041,0.0,equal
sample_017,high,543.6,571.6,543.0,572.0,543.0,572.0,1,1,0.9898457309102758,0.7211102550928041,0.7211102550928041,0.0,equal
sample_017,low,543.6,571.6,543.0,572.0,543.0,572.0,1,1,0.9998439451959902,0.7211102550928041,0.7211102550928041,0.0,equal
sample_017,medium,543.6,571.6,543.0,572.0,543.0,572.0,1,1,0.9998439451959902,0.7211102550928041,0.7211102550928041,0.0,equal
sample_018,clean,290.2,422.7,290.0,423.0,290.0,423.0,1,1,0.9998998861205807,0.36055512754640207,0.36055512754640207,0.0,equal
sample_018,high,290.2,422.7,290.0,423.0,290.0,423.0,1,1,0.9999007170384551,0.36055512754640207,0.36055512754640207,0.0,equal
sample_018,low,290.2,422.7,290.0,423.0,290.0,423.0,1,1,0.9998998861205807,0.36055512754640207,0.36055512754640207,0.0,equal
sample_018,medium,290.2,422.7,290.0,423.0,290.0,423.0,1,1,0.9998998861205807,0.36055512754640207,0.36055512754640207,0.0,equal
sample_019,clean,715.6,838.9,714.0,839.0,714.0,839.0,1,1,0.9998635708319912,1.6031219541881638,1.6031219541881638,0.0,equal
sample_019,high,715.6,838.9,714.0,839.0,714.0,839.0,1,1,0.999711277554248,1.6031219541881638,1.6031219541881638,0.0,equal
sample_019,low,715.6,838.9,714.0,839.0,714.0,839.0,1,1,0.9998466216794488,1.6031219541881638,1.6031219541881638,0.0,equal
sample_019,medium,715.6,838.9,714.0,839.0,714.0,839.0,1,1,0.99989635878372,1.6031219541881638,1.6031219541881638,0.0,equal
sample_020,clean,883.0,880.6,882.0,881.0,882.0,881.0,1,1,0.9997586330157684,1.0770329614268923,1.0770329614268923,0.0,equal
sample_020,high,883.0,880.6,882.0,881.0,882.0,881.0,1,1,0.9998439451959902,1.0770329614268923,1.0770329614268923,0.0,equal
sample_020,low,883.0,880.6,882.0,881.0,882.0,881.0,1,1,0.9997586330157684,1.0770329614268923,1.0770329614268923,0.0,equal
sample_020,medium,883.0,880.6,882.0,881.0,882.0,881.0,1,1,0.9998439451959902,1.0770329614268923,1.0770329614268923,0.0,equal
sample_021,clean,640.4,721.9,639.0,722.0,639.0,722.0,1,1,0.999097225471529,1.4035668847617988,1.4035668847617988,0.0,equal
sample_021,high,640.4,721.9,639.0,722.0,639.0,722.0,1,1,0.9990068450867461,1.4035668847617988,1.4035668847617988,0.0,equal
sample_021,low,640.4,721.9,639.0,722.0,639.0,722.0,1,1,0.999097225471529,1.4035668847617988,1.4035668847617988,0.0,equal
sample_021,medium,640.4,721.9,639.0,722.0,639.0,722.0,1,1,0.999097225471529,1.4035668847617988,1.4035668847617988,0.0,equal
sample_022,clean,578.3,882.0,577.0,882.0,577.0,882.0,1,1,0.9997987265278141,1.2999999999999545,1.2999999999999545,0.0,equal
sample_022,high,578.3,882.0,577.0,882.0,577.0,882.0,1,1,0.9994809398040079,1.2999999999999545,1.2999999999999545,0.0,equal
sample_022,low,578.3,882.0,577.0,882.0,577.0,882.0,1,1,0.9997987265278141,1.2999999999999545,1.2999999999999545,0.0,equal
sample_022,medium,578.3,882.0,577.0,882.0,577.0,882.0,1,1,0.9998152778955927,1.2999999999999545,1.2999999999999545,0.0,equal
sample_023,clean,670.9,337.1,692.0,337.0,692.0,337.0,1,1,0.5387816387764971,21.100236965494034,21.100236965494034,0.0,equal
sample_023,high,670.9,337.1,649.0,337.0,692.0,337.0,2,1,0.8241570547675214,21.900228309312187,21.100236965494034,-0.799991343818153,worse
sample_023,low,670.9,337.1,692.0,337.0,692.0,337.0,1,1,0.6559613440588256,21.100236965494034,21.100236965494034,0.0,equal
sample_023,medium,670.9,337.1,649.0,337.0,649.0,337.0,1,1,0.9995737778276322,21.900228309312187,21.900228309312187,0.0,equal
sample_024,clean,695.3,283.5,695.0,284.0,695.0,284.0,1,1,0.9997781620262302,0.5830951894845067,0.5830951894845067,0.0,equal
sample_024,high,695.3,283.5,695.0,284.0,695.0,284.0,1,1,0.999679216085147,0.5830951894845067,0.5830951894845067,0.0,equal
sample_024,low,695.3,283.5,695.0,284.0,695.0,284.0,1,1,0.9999031620262301,0.5830951894845067,0.5830951894845067,0.0,equal
sample_024,medium,695.3,283.5,695.0,284.0,695.0,284.0,1,1,0.9999007170384551,0.5830951894845067,0.5830951894845067,0.0,equal
sample_025,clean,439.7,875.5,438.0,876.0,438.0,876.0,1,1,0.9999007170384551,1.772004514666924,1.772004514666924,0.0,equal
sample_025,high,439.7,875.5,438.0,876.0,438.0,876.0,1,1,0.9260394902498572,1.772004514666924,1.772004514666924,0.0,equal
sample_025,low,439.7,875.5,438.0,876.0,438.0,876.0,1,1,0.9999007170384551,1.772004514666924,1.772004514666924,0.0,equal
sample_025,medium,439.7,875.5,438.0,876.0,438.0,876.0,1,1,0.99840452504912,1.772004514666924,1.772004514666924,0.0,equal
sample_026,clean,255.8,134.0,256.0,134.0,256.0,91.0,2,1,0.9911395201235726,0.19999999999998863,43.000465113763596,42.80046511376361,improved
sample_026,high,255.8,134.0,256.0,134.0,256.0,91.0,2,1,0.972492195144572,0.19999999999998863,43.000465113763596,42.80046511376361,improved
sample_026,low,255.8,134.0,256.0,134.0,256.0,134.0,1,1,0.9998940942634095,0.19999999999998863,0.19999999999998863,0.0,equal
sample_026,medium,255.8,134.0,256.0,134.0,256.0,134.0,1,1,0.9998976216002701,0.19999999999998863,0.19999999999998863,0.0,equal
sample_027,clean,876.7,234.7,876.0,235.0,876.0,235.0,1,1,0.9998976216002701,0.7615773105864371,0.7615773105864371,0.0,equal
sample_027,high,876.7,234.7,876.0,235.0,876.0,235.0,1,1,0.9997686527537157,0.7615773105864371,0.7615773105864371,0.0,equal
sample_027,low,876.7,234.7,876.0,235.0,876.0,235.0,1,1,0.9993701490727975,0.7615773105864371,0.7615773105864371,0.0,equal
sample_027,medium,876.7,234.7,876.0,235.0,876.0,235.0,1,1,0.9996109179959319,0.7615773105864371,0.7615773105864371,0.0,equal
sample_028,clean,252.4,838.7,251.0,839.0,251.0,839.0,1,1,0.9998434456741372,1.4317821063276315,1.4317821063276315,0.0,equal
sample_028,high,252.4,838.7,251.0,839.0,251.0,839.0,1,1,0.9999042506073595,1.4317821063276315,1.4317821063276315,0.0,equal
sample_028,low,252.4,838.7,251.0,839.0,251.0,839.0,1,1,0.9998434456741372,1.4317821063276315,1.4317821063276315,0.0,equal
sample_028,medium,252.4,838.7,251.0,839.0,251.0,839.0,1,1,0.9998434456741372,1.4317821063276315,1.4317821063276315,0.0,equal
sample_029,clean,857.1,688.0,856.0,688.0,856.0,688.0,1,1,0.9996933497767565,1.1000000000000227,1.1000000000000227,0.0,equal
sample_029,high,857.1,688.0,856.0,688.0,856.0,688.0,1,1,0.9997306658984392,1.1000000000000227,1.1000000000000227,0.0,equal
sample_029,low,857.1,688.0,856.0,688.0,856.0,688.0,1,1,0.9996933497767565,1.1000000000000227,1.1000000000000227,0.0,equal
sample_029,medium,857.1,688.0,856.0,688.0,856.0,688.0,1,1,0.9997090978082526,1.1000000000000227,1.1000000000000227,0.0,equal
sample_030,clean,767.7,590.7,767.0,591.0,767.0,591.0,1,1,0.9997593148281109,0.7615773105864148,0.7615773105864148,0.0,equal
sample_030,high,767.7,590.7,767.0,591.0,767.0,591.0,1,1,0.9988033038552812,0.7615773105864148,0.7615773105864148,0.0,equal
sample_030,low,767.7,590.7,767.0,591.0,767.0,591.0,1,1,0.9997593148281109,0.7615773105864148,0.7615773105864148,0.0,equal
sample_030,medium,767.7,590.7,767.0,591.0,767.0,591.0,1,1,0.9977370056156895,0.7615773105864148,0.7615773105864148,0.0,equal
